name,address,note,phone,lanLng
Eden Animal Hospital,"1F., No.33, Beian Rd, Lane 554, Zhongshan District, Taipei City",https://eden-vet.com ,Call after 9PM,"(25.0806586, 121.5484874)"
Top Veterinary Hospital,"No. 260, Long Jiang Rd, Zhongshan District, Taipei City",https://www.topvet.topet.net ,Call after 9PM,"(25.0600094, 121.5405291)"
Duke Veterinary Clinic,"No. 117, Sec. 3, Heping E. Rd., Da’an Dist., Taipei City",https://www.facebook.com/dukevetclinic ,Call after 12AM,"(25.02644, 121.5332197)"
Wang's Veterinary Clinic,"No. 217號, Jinhua St, Da’an District, Taipei City",Facebook Page ,Call before going or contact via Facebook page,"(25.029917, 121.528995)"
Loving Kindness Animal Hospital,"No.1, Ningxia Rd, Datong District, Taipei City",https://www.lkah.com.tw/ ,,"(25.0543129, 121.5149591)"
Formosa Vet Center,"1F., No. 247, Minsheng W. Rd., Datong Dist., Taipei City",https://www.formosavetcenter.com ,,"(25.057185, 121.514809)"
Prospect Vet Emergency Critical Center,"No.2, Section 2, Zhonghua Rd, Wanhua District, Taipei City",https://www.prospect-vet.com ,,"(25.0341472, 121.5055855)"
National Veterinary Hospital(Taipei Branch),"No. 13, Lane 30, Section 1, Jiuzong Rd, Neihu District, Taipei City",https://www.vet.com.tw/en/about.php ,,"(25.0577388, 121.5802343)"
Top Veterinary Hospital(Nanjing branch),"No. 286, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City",http://topvet.topet.net/ ,Call After 9 PM,"(25.0510364, 121.5671031)"
Xintai Animal Hospital,"1F., No. 57, Yanji St., Songshan Dist., Taipei City",http://www.stah.com.tw ,,"(25.0449721, 121.5538535)"
Dacyun Veterinarian 24hr Animal Emergency Hospital,"No. 206, Section 6, Roosevelt Rd, Wenshan District, Taipei City",https://dacyun-vet.tw ,,"(24.9936051, 121.5407931)"
Boulder Yard Animal Hospital,"No. 102, Section 1, Zhongcheng Rd, Shilin District, Taipei City",http://www.boulderyard24.com ,"Provide service for dogs, cats, rodents, and rabbits ","(25.1053842, 121.5282977)"
Anew Animal Hospital,"1F., No. 238, Jihe Rd., Shilin Dist., Taipei City",https://anewanimalhospital.webnode.tw ,Call After 10PM & Sunday After 5PM,"(25.0911086, 121.5214455)"
Blue Sky Animal Hospital,"No. 757, Wenlin Rd, Shilin District, Taipei City",Facebook Page ,"Call After 9PM & Sunday Off  Provide service for dogs, cats, birds, fish, and rabbits ","(25.103235, 121.519392)"
Daan Animal Hospital,"1F., No. 162, Sec. 4, Roosevelt Rd., Zhongzheng Dist., Taipei City",https://daan-vet.com ,,"(25.0123932, 121.5361749)"
Hsiang Hsin Animal Hospital,"No. 203, Zhongxiao Rd., Banqiao Dist., New Taipei City",https://www.hsianghsin.tw ,Call after 9PM,"(25.0027793, 121.4652805)"
Mutsun Animal Hospital,"No. 28, Section 2, Zhongshan Rd, Banqiao District, New Taipei City",Facebook Page ,Call after 8PM,"(25.0150678, 121.4727188)"
Chung Ri Animal Hospital,"No. 2, Section 3, Zhongshan Rd, Zhonghe District, New Taipei City",http://www.unitevet.com ,,"(25.0062233, 121.4798046)"
YaDong Animal Hospital,"2F., No. 639, Zhongshan Rd, Zhonghe District, New Taipei City",https://vet639.url.tw/ ,"Call before going Provide Service for rabbits, rodents, birds, turtles ","(24.9792305, 121.523889)"
Le Huo Animal Hospital,"No. 21, Lane 66, Zhulin Rd, Yonghe District, New Taipei City",Facebook Page,"Call between 9PM to 2AM, Sunday Off","(25.0130624, 121.5176627)"
Elite Animal Hospital,"No. 495-9, Minsheng Rd, Taoyuan District, Taoyuan City",https://www.ghanimalcasa.com ,Call After 2AM,"(25.0027364, 121.3093662)"
Genki Veterinary Hospital(Sanmin Branch),"No. 381, Section 3, Sanmin Rd, Taoyuan District, Taoyuan City",http://www.genkivet.com.tw ,,"(24.9899693, 121.307013)"
Genki Veterinary Hospital(Yiwen Branch),"No. 156, Section 1, Zhuangjing Rd, Taoyuan District, Taoyuan City",http://www.genkivet.com.tw ,"Provide service for dogs, cats, rodents, and rabbits","(25.0255521, 121.3002566)"
Bisous Animal Hospital,"No. 20, Yanping Rd., Zhongli Dist., Taoyuan City",Facebook Page ,,"(24.9638073, 121.2331266)"
Zhu Xin Animal Hospital,"No. 654, Section 1, Jingguo Rd, East District, Hsinchu City",http://www.zhuxin.com.tw/ ,Provide Service from 9PM to 2AM,"(24.8145088, 120.9744711)"
Happinesss Animal Hospital,"No. 6號, Lane 92, Section 3, Jingguo Rd, Xiangshan District, Hsinchu City, 300 ",Facebook Page ,"Call before going Provide service for rodents, sugar gliders, birds, and reptiles ","(24.798127, 120.95258)"
National Veterinary Hospital(Taichung Main Branch),"No. 100, Wuquan 8th St., West Dist., Taichung City",https://www.vet.com.tw/en/about.php ,,"(24.1340956, 120.6624304)"
Lodayu Animal Hospital,"No. 153, Cunzhong St, West Dist., Taichung City",Facebook Page ,Provide service from 9:30PM to 11PM,"(24.1411981, 120.6569647)"
Gleam ways Animal Hospital,"No. 486, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City",Facebook Page ,,"(24.1464051, 120.6467899)"
Kant Animal Hospital,"No. 270, Section 2, Chongde Rd, Beitun District, Taichung City",Facebook Page ,"Call before going & Provide service for dogs, cats, rodents, and rabbits ","(24.175348, 120.6859193)"
Muen Animal Hospital,"No. 865, Jianxing Rd, North District, Taichung City, 404",Facebook Page ,Call before going & Sunday Off,"(24.159047, 120.6694723)"
Loving Kindness Animal Hospital(Taichung Main branch),"No. 539, Sec. 2, Guoguang Rd., Dali Dist., Taichung City",Facebook Page ,,"(24.1117741, 120.6788988)"
Chung Ai Veterinary Hospital,"No. 490, Section 2, Zhongshan Rd, Yuanlin City, Changhua County",https://www.chungai.com.tw/main/View_Service.aspx ,Call before going,"(23.9714398, 120.5714543)"
Ho Mu Animal Hospital,"No. 454, Guangfu Rd, Huwei Township, Yunlin County",Facebook Page ,Call before going & Sunday Off,"(23.7109443, 120.4344367)"
National Veterinary Hospital(Tainan Branch),"2F., No. 620, Chongde Rd., East Dist., Tainan City",https://www.vet.com.tw/en/about.php ,,"(22.9706936, 120.2273543)"
Noah Animal Hospital,"No. 297, Chenggong Rd, West Central District, Tainan City",http://www.ky-animal.com.tw/ ,Call before going & Sunday Off,"(22.9995962, 120.2009944)"
Loving Kindness Animal Hospital(Tainan Branch),"No. 437, Sec. 1, Ximen Rd., South Dist., Tainan City",https://www.lkah.com.tw ,,"(22.9808672, 120.1974267)"
Alliance Veterinary Hospital(Renwu Main Branch),"No. 231, Fengren Rd., Renwu Dist., Kaohsiung City",https://www.pet100pa.com/vet ,"Emergency service from 9PM to 2AM & Provide service for dogs, cats, rodents, rabbits, hedgehogs, sugar gliders, birds, parrots and reptiles ","(22.6979774, 120.3469705)"
Hung Li Animal Hospital,"No. 326, Mingcheng 1st Rd, Sanmin District, Kaohsiung City",https://www.hunglivet.com/ ,,"(22.659977, 120.324799)"
Jong-Shing Animal Hospital,"No. 498, Wenfu Rd, Zuoying District, Kaohsiung City",http://www.jsah.com.tw/ ,Provide emergency service from 9:30PM to 2AM ,"(22.6913366, 120.3167105)"
Udoch Animal Hospital,"No. 139, Zhongzheng 1st Rd, Lingya District, Kaohsiung City",https://udochah.wixsite.com/udoch ,Press the emergency bell at the door if service needed,"(22.628337, 120.330864)"
GuanAn Animal Hospital,"No. 131-1, Zhongzheng 2nd Rd, Lingya District, Kaohsiung City",,"Call after 9:30PM, Sunday after 5:30PM","(22.630227, 120.315545)"
Hope Veterinary Hospital,"No. 100, Kaixuan Rd, Fengshan District, Kaohsiung City",Facebook Page ,Call before going,"(22.6074945, 120.3588147)"
MingRen Veterinary Hospital,"No. 7, Ren'ai Rd, Pingtung City, Pingtung County",Facebook Page ,Call before going,"(22.6680245, 120.4910189)"
Shanghai Animal Hospital,"No. 63, Shanghai St, Hualien City, Hualien County",,Call before going,"(23.9729448, 121.6021628)"
